"","node","feature ID","degree","betweenness","closeness","data_type","community","Domain","Phylum","Class","Order","Family","Genus","Species","mean_abundance","mean_abundance_ranking"
"87",94,"f278466f3066903bbbbf460c5be12be0",10,0.0073170040043381,0.371223021582734,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00150212074957534,84
"88",95,"74c764cd57dcb0e8dc8945a1836bdc3a",3,0.00172201676574961,0.243626062322946,"Microbial Taxa",7,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_unclassified",0.00129258216903436,91
"89",96,"bb42fca01a5403b669ee1a84c98eceff",9,0.00766445839396958,0.304604486422668,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.0015583842453893,81
"90",97,"0b0d8509cc1734bcd2913d824a30373b",15,0.0250708838511362,0.379411764705882,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Catonella","s__uncultured_Catonella_sp.",0.00134066556561338,88
"91",98,"929ea34e321739010c0fa413ded5dfba",9,0.0104278893044441,0.354395604395604,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_UCG-014","s__Ruminococcaceae_UCG-014_unclassified",0.00128039611090264,92
"92",99,"816c3d478ebffd167938153c8dc4faa0",9,0.00974997233084636,0.331193838254172,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter","s__Aggregatibacter_unclassified",0.0011586570755228,96
"93",100,"a74ca6070b2d2f0c147a9a4789004bd5",12,0.00937613197415036,0.360839160839161,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Stomatobaculum","s__Stomatobaculum_unclassified",0.00124772893623909,93
"94",101,"ba1ec526efddeab43475680ebe4ff658",4,0.0001991216951995,0.277121374865736,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00122322965649902,94
"95",102,"dbfa00e64a3c894c18b5418bffdf3a44",23,0.0241045455091389,0.386806596701649,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Stomatobaculum","s__Stomatobaculum_unclassified",0.00131612690213047,89
"96",103,"dbd3cdcbe28436413b600cd599c23d81",1,0,1,"Microbial Taxa",6,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Actinobacillus","s__Actinobacillus_unclassified",0.00110569429102376,97
"97",104,"f7c3650f627a482ac5252096b16b52ce",9,0.0116812672486872,0.316176470588235,"Microbial Taxa",4,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_parasanguinis",0.000989367358992254,100
"98",105,"fa34051cafc80132dd66ec48b726878a",18,0.0371992775727057,0.39209726443769,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Butyrivibrio_2","s__Butyrivibrio_2_unclassified",0.00098259675946009,101
"99",106,"f3978984be6d31e13744e368e73ebad8",9,0.00906576713464616,0.330345710627401,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Selenomonas_3","s__Selenomonas_3_unclassified",0.00108242156105158,98
"100",107,"4b1fe0e451b3f021f734f80cabc17710",11,0.0114930547451841,0.322903629536921,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00118567075310426,95
"101",108,"b02fed8b6dd33b1d0a54815d9e62d3fd",3,0.00010341519862302,0.303886925795053,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.000961563383759478,104
"102",109,"79d8de2cef04ff1f9e6cdc2b1d621b3c",9,0.00289864173815659,0.354395604395604,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Granulicatella","s__uncultured_Granulicatella_sp.",0.000965549064075513,102
"103",110,"40e7f8436bd30ef62c3974945e227d48",17,0.0228249083427456,0.361851332398317,"Microbial Taxa",3,"d__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales_(SR1)","f__Absconditabacteriales_(SR1)_unclassified","g__Absconditabacteriales_(SR1)_unclassified","s__Absconditabacteriales_(SR1)_unclassified",0.000964421429552983,103
"104",111,"0e186f839c3ca78d0343f98c579bc09a",3,0.00237529262529045,0.300699300699301,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Family_XIII","g__Eubacterium]_nodatum_group","s__Eubacterium]_nodatum_group_unclassified",0.00102352696170463,99
"105",112,"88b9f6cadaa508b7d5d920021e51228d",2,0.00729181444176479,0.249757986447241,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Family_XI","g__Gemella","s__Gemella_unclassified",0.000823841226794233,113
"106",113,"279dd4652e11eb28846651a5b31f2cbb",6,0.00616464847367724,0.320496894409938,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.000806760706477416,116
"107",114,"833a3db306d8d754e8112c606544bffa",5,0.00356584961470039,0.315403422982885,"Microbial Taxa",5,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_nigrescens",0.000757349768464037,121
"108",115,"b244a369a8eb02af982535219389ac79",13,0.0216286598703095,0.351978171896317,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_elongata",0.000883845187630227,109
"109",116,"1afc334468970fa90c170942faf4a1df",3,1.27677684777983e-05,0.260343087790111,"Microbial Taxa",5,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__uncultured_Porphyromonas_sp.",0.000913245441007311,105
"110",117,"bcacfdff02909d42a9b5d194ec5beb47",15,0.0200312450462081,0.363380281690141,"Microbial Taxa",4,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_unclassified",0.00086054947440937,110
"111",118,"9017a32c55163971f70ddc07d8e278b8",4,0.0024685047368197,0.286348501664817,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.000518202025318739,147
"112",119,"e444bb028140ea5497b01c7fc711c316",8,0.00184733725505188,0.318518518518519,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Bergeyella","s__Bergeyella_unclassified",0.00081213036881032,115
"113",120,"937e48b30e3713e1c9a508adceb38e41",6,0.0026975519627705,0.296211251435132,"Microbial Taxa",5,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_unclassified",0.000890192705232598,107
"114",121,"4b464b838757a1940d7a5809fa401fda",19,0.0263397163687235,0.387387387387387,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Oribacterium","s__Oribacterium_unclassified",0.00089811522581781,106
"115",122,"519523675c0c0853c1203dfef91031ea",11,0.0169922332428235,0.370689655172414,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000826311000716598,112
"116",123,"de0e167ee4993513f9589cc1f6b75f25",1,0,0.258517034068136,"Microbial Taxa",2,"d__Bacteria","p__Epsilonbacteraeota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter_unclassified",0.000886118458119741,108
"117",124,"4b1f873f0fa4a10ef3cc79e956608860",8,0.00174275377421171,0.348648648648649,"Microbial Taxa",3,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__uncultured_Fusobacterium_sp.",0.000792439533795643,117
"118",125,"43428eba6a7d1cbcf596d946d1249fd7",6,0.00189249044438149,0.324120603015075,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Family_XI","g__Gemella","s__Gemella_unclassified",0.000783022321825232,118
"119",126,"e4c0b28effa6f34ff5fd9928e239b2bf",7,0.00180904909793025,0.341721854304636,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.000740007951875962,122
"120",127,"ead914e9b262c53574361f10ded0ed72",11,0.021505819692909,0.353909465020576,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_UCG-014","s__Ruminococcaceae_UCG-014_unclassified",0.000823573109448952,114
"121",128,"a2e1e76b5099e4a74e213dfe462c4e9d",17,0.0295625141974259,0.371757925072046,"Microbial Taxa",4,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Family_XI","g__Gemella","s__Gemella_unclassified",0.000705011235757213,127
"122",129,"ec2e0316d85d0d4ad78c8279ca11bf7d",13,0.0189572912367806,0.364406779661017,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.000829289862430259,111
"123",130,"ad0140e97b44feba274a4dc4ac374781",8,0.00982357637463277,0.341721854304636,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Dialister","s__Dialister_unclassified",0.000723045872598483,125
"124",131,"4d664dd39c76e5bc88dd72b34f9d78b6",4,0.00169767157456593,0.282275711159737,"Microbial Taxa",5,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__Alloprevotella_tannerae",0.000505440779349216,150
"125",132,"3575b6a4369f4c62e6b0fe08b1ec2bc0",2,0.0004162698720518,0.281967213114754,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__Alloprevotella_unclassified",0.000733820182839567,124
"126",133,"6a9a0b723fe1d33a64af096250ac6375",2,0.00086695839694039,0.26791277258567,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.000761647232141529,120
"127",134,"10a3a23a1892a0368ad27196839e5016",14,0.0160613895691174,0.363380281690141,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.000709053297800292,126
"128",135,"14a819c0324b34ccd700e2332054e1ce",2,0,0.253438113948919,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.000655791708861531,132
"129",136,"39db71e362ea010c66c9ccb0f8121d4b",8,0.00577388846342854,0.292185730464326,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00076722875010461,119
"130",137,"b2942943435402615a1385be2297782c",12,0.0105859066606372,0.346774193548387,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000733939180929141,123
"131",138,"ae9d823a0b9158e89a49cd07439f7eb1",4,0.00043706116985308,0.326582278481013,"Microbial Taxa",2,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__Candidatus_Saccharimonas","s__Candidatus_Saccharimonas_unclassified",0.000628016704828958,133
"132",139,"790e2976126ea9bc68a8a243b130d4a2",7,0.00475181185024809,0.316953316953317,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000618897494335944,134
"133",140,"d809e87b2673775a4fff4dcdf4606e85",8,0.0106110795913274,0.304245283018868,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000675948828462127,129
"134",141,"a462cd3791fc2f43b3bc518d923dd029",9,0.00654577296245541,0.330345710627401,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Proteobacteria_unclassified","o__Proteobacteria_unclassified","f__Proteobacteria_unclassified","g__Proteobacteria_unclassified","s__Proteobacteria_unclassified",0.00055622014833579,142
"135",142,"5fcdbbab277c76041d2d72bd4a80c1d9",2,0.00097256668772145,0.273885350318471,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000696911269184804,128
"136",143,"90254dab523c41930b2d1812de164ec8",12,0.0159819958699754,0.316564417177914,"Microbial Taxa",5,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__uncultured_Leptotrichia_sp.",0.0006022175690397,135
"137",144,"d08842fb3b52d4beb019634fb1b726d5",4,0.0043392538325907,0.299303944315545,"Microbial Taxa",2,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__uncultured_Actinomyces_sp.",0.000675779892898009,130
"138",145,"b375bb407f06c2df645619e90adeb076",7,0.00220035606591921,0.345381526104418,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000585393929733724,137
"139",146,"90dd09179ea2bd4ac9d735145db7ccc1",8,0.00328199753423229,0.347240915208614,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000581282178920537,138
"140",147,"232c4b181d4f0f6b35d3aab4a438a186",6,0.00420707211666565,0.284140969162996,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000665653244053326,131
"141",149,"9f5b83fe6686da884ba633e5d0774da3",4,0.00923404605076379,0.287946428571429,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter","s__Aggregatibacter_unclassified",0.00049566115198402,151
"142",150,"ed4b3cb70ad482ea26d0f267cbae79b1",7,0.00220295232463581,0.29086809470124,"Microbial Taxa",5,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp._CM83",0.000532901738986534,145
"143",151,"442f8ed0f1e01600a16e36786f739e67",14,0.0164850613188659,0.344459279038718,"Microbial Taxa",4,"d__Bacteria","p__Epsilonbacteraeota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter_unclassified",0.000540344995725912,143
"144",152,"85c4c13c0da29cb5ba7dbff2b5968608",10,0.00332966006636255,0.313868613138686,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Family_XI","g__Parvimonas","s__Parvimonas_unclassified",0.000398869942002474,165
"145",153,"952785a0ccc26580d5966be1b561cc8a",10,0.0110438378609757,0.332046332046332,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000586841480418884,136
"146",154,"1dc053c4d452aeefa30f6fee3f4ff868",7,0.00148616381339127,0.316176470588235,"Microbial Taxa",3,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__uncultured_Actinomyces_sp.",0.000450517953627093,158
"147",155,"203ddb29626575aad73b4fbfe13e8ca9",10,0.0169727027376879,0.350067842605156,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.000516557212001121,148
"148",156,"606a7ee2509e5c9a13ebdf94fc0e282e",2,0.0001476795767809,0.245014245014245,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00057208020735153,140
"149",157,"33bd1b208803442d89578d0217033e77",17,0.0179597087649736,0.364406779661017,"Microbial Taxa",3,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__Leptotrichia_sp._OTH_64",0.000534807120397149,144
"150",158,"7a479581fbd914407ce742e28ca0546f",11,0.0190567173073053,0.346308724832215,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_sp._T17/4F",0.000520900731364744,146
"151",159,"d8102c2c385988c3e996f99f94c21f8c",6,0.00525305268974483,0.29757785467128,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000563781197247833,141
"152",160,"25479afc7469d8f5988b58121dfa900f",13,0.0181349113939246,0.344919786096257,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Oribacterium","s__Oribacterium_unclassified",0.000512136078291036,149
"153",161,"cee25e6a8da2c1dc599e73698085f395",2,0.00017163158878051,0.260343087790111,"Microbial Taxa",4,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__uncultured_Actinomyces_sp.",0.000580351217439545,139
"154",162,"713aa396fa79ea195328a198b9876bb6",7,0.0064258033323385,0.314634146341463,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000473459081334773,154
"155",163,"d1815a067100dedf22112d2a2fdab704",8,0.00132044960436032,0.332474226804124,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_2","s__Prevotella_2_unclassified",0.000461510150452812,157
"156",164,"5ddbe70ba9f2941ac487067dd2ba8b44",7,0.00279027427196626,0.339920948616601,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_sp._I-G2",0.000476798800150734,153
"157",165,"bedcefccec5b6d3c5591b6f095061f4c",4,0.00032299042944445,0.311594202898551,"Microbial Taxa",3,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__uncultured_Actinomyces_sp.",0.000491665559347367,152
"158",166,"a2b59d8df57f626568b4f6a7df8e59ec",5,0.0006073852279326,0.257742257742258,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.000463998960081803,156
"159",167,"af1c9e100b97b354d7fc6d4684895a21",8,0.0045034651172709,0.318912237330037,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.000467385552919621,155
"160",168,"591ed1d6afd1e79ae33d6b6cd0c6b185",8,0.0156148709859897,0.276824034334764,"Microbial Taxa",7,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__Escherichia-Shigella_unclassified",0.000390250850906272,166
"161",169,"01615ade77537e36579c7dac49eb4e0f",3,0.00148078119890844,0.298957126303592,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Selenomonas_3","s__Selenomonas_3_unclassified",0.000431345826938242,160
"162",170,"0d2a0ee7654279b939574cd1036f4c6d",7,0.0122851433173789,0.332474226804124,"Microbial Taxa",2,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__Candidatus_Saccharimonas","s__Candidatus_Saccharimonas_unclassified",0.000441985332913471,159
"163",171,"3570b832b6ece5cd873d8c33be7d52bd",16,0.0202976243392539,0.358831710709319,"Microbial Taxa",5,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__uncultured_Leptotrichia_sp.",0.00040461106198947,164
"164",172,"613523fa0b30b675f218503d1c630157",13,0.0191199801656252,0.368571428571429,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000359255187300051,170
"165",173,"799689b29cfc44c274e289d52600989e",5,0.00110962756504904,0.286348501664817,"Microbial Taxa",5,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_unclassified",0.000425655571036974,161
"166",174,"99b411a53ccea764f8f4c1686fc2dc83",15,0.0358102199500666,0.368571428571429,"Microbial Taxa",4,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_aeria",0.000406860066064104,163
"167",175,"341499401c91b14f8780526a296d139e",4,0.00151695411930466,0.320496894409938,"Microbial Taxa",4,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_unclassified",0.000351376570926451,173
"168",176,"eb639a94c58a2a8453daa7bb1688541f",6,0.00615962433425621,0.330345710627401,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__uncultured_Porphyromonas_sp.",0.000320021423746221,175
"169",177,"e3c9caeb168ca680a176bf8f4862d18a",1,0,0.279826464208243,"Microbial Taxa",2,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadales_unclassified","g__Saccharimonadales_unclassified","s__Saccharimonadales_unclassified",0.000355895686282582,172
"170",178,"66f8880a8a2830c710b656346fa4f4d2",10,0.00696894725281191,0.316953316953317,"Microbial Taxa",5,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Kingella","s__Kingella_unclassified",0.000295450073470151,182
"171",179,"96864c1921771148ba76253b3f390c4a",4,0.00235741240076077,0.291525423728814,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga","s__Capnocytophaga_unclassified",0.000371182375847203,168
